instelling.naam;objectnummer;object_categorie;objectnaam;titel;beschrijving;vervaardiger;vervaardiger.rol;vervaardiging.plaats;vervaardiging.datum.begin.prec;vervaardiging.datum.begin;vervaardiging.datum.eind.prec;vervaardiging.datum.eind;associatie.onderwerp;associatie.persoon;associatie.periode;inhoud.onderwerp;inhoud.persoon.naam
Het Huis van Alijn (Gent);2003-002-100-001;circusattributen;postament;Postament voor ponynummer bij Circus Demuynck;Voetstuk met afgeknotte ovaal als grondplan. De voorzijde bestaat uit een blauwe band met drie geschilderde, donkerblauwe cirkels. Ter versiering werd bovenaan een metaalstrip toegevoegd. De bovenzijde is zwart geverfd en werd voorzien van een patroon met gebroken lijnen van touw (als grip voor de hoeven van de pony's). Afkomstig uit circus Demuynck.;"";"";"";"";1953;"";"";circus$dresseur;Demuynck (circus);jaren 1950;"";""
Het Huis van Alijn (Gent);2003-001-090;circuskostuums$hoofddeksels;hoed;Hoed van Circus Minnaert;Zwarte hoed afkomstig uit circus Minnaert.;"";"";"";"";"";"";"";circus;Minnaert (circus);"";"";""
Het Huis van Alijn (Gent);2009-028-001;"";rammelaar (speelgoed);Speelgoedobject Clickety Clack;"";Ambi Toys;fabrikant;Nederland;"";1989;"";"";speelgoed;"";jaren 1980;"";""
Het Huis van Alijn (Gent);2003-002-143;circusattributen;ton;Ton van tonnenspringer Bernardos;Ton van hout met donkerrood-geelgelakte duigen en vier gebintes/hoepels uit metaal. Deze ton werd door tonnenspringer Bernardos gebruikt voor een springnummer.;onbekend;"";"";ca.;1930;"";"";circus$tonnenspringer$acrobaat;Bernart, Roger;jaren 1930;"";""
Het Huis van Alijn (Gent);2003-001-034;circuskostuums;clownspak;Kostuum van clown Tony;Clownspak met brede boekspijpen en bezet met blauwe en gouden pailletten van clown Tony uit circus Minnaert. Op de rug staat in roze pailletten de tekst TONY geschreven.;"";"";"";"";1920;"";"";circus$clown;Minnaert, Pierre$Minnaert (circus);jaren 1920;"";""
Het Huis van Alijn (Gent);2002-078-292;"";affiche;Affiche voor circus Minnaert in Kortrijk, 1954;Affiche voor Circus Minnaert. Tekstaffiche met twee kleine foto's: een portret van Gastonske en een portret van Titi. Blauwe en rode druk op wit papier. Sierkader van blauwe streepjes.;Nolf, R.;drukker;Kortrijk;"";1954;"";"";Kortrijk$circus$clown;Minnaert (circus);jaren 1950;august;Minnaert, Gaston$Minnaert, Odilon
Het Huis van Alijn (Gent);1976-247-032;"";gezelschapsspel;Hersenbreker Délivrer mon Coeur;"Gezelschapspel Délivrez mon Coeur. De rechthoekige kartonnen doos is beplakt met roze papier en een vlinderpatroon. Het losse deksel draagt een etiket: een rood hart met een slot aan een ketting.
In de doos van de hersenbreker Délivrer mon Coeur zit een spelreglement. Het houten hart draagt zes gaten waardoor een roze touw steekt met een blauwe, glazen parel. Het hart dient bevrijd te worden.";N.K. Atlas;fabrikant;Parijs;ca.;1904;ca.;1924;speelgoed;"";jaren 1900$jaren 1910$jaren 1920;hart;""
Het Huis van Alijn (Gent);2002-078-234;"";affiche;Affiche voor Circus Semay in Izegem, 1952;Affiche voor Circus Semay. Tekstaffiche. Groene en rode druk op wit papier. Groen kader met witte sterren.;"";"";"";"";1952;"";"";Izegem$circus;Semay (circus);jaren 1950;"";""
Het Huis van Alijn (Gent);2008-130-001;"";menukaart;Menukaart zilveren bruiloft, 1893;Feestmaal ter gelegenheid van de zilveren bruiloft van Théodore Hoogen en Guillaumine Modlinsky.;"";"";"";"";1893-06-27;"";"";huwelijk$jubileum$banket;"";19de eeuw;vlieg;""
Het Huis van Alijn (Gent);1965-089-069;"";stangpop;Adjunct-agent Constant;Stangpop van Constant. Hij draagt een witte, lange broek en jas met zes knopen in stof. Op elke mouw staat een rode streep. Poppenkastpop van het Spelleke van de Muide.;"";"";"";"";"";"";"";poppenspel$Gent;Spelleke van de Muide;jaren 1920$jaren 1930$jaren 1940;politieagent;""
Het Huis van Alijn (Gent);2014-005-007;"";hobbelpaard;Hobbelhond;"";Fisher-Price;fabrikant;Verenigde Staten van Amerika;"";1983;"";"";speelgoed;"";jaren 1980;"";""
Het Huis van Alijn (Gent);FO-60-00515;"";digitale afbeelding;Meisje bij Sinterklaas, ca. 1965;"";"";"";"";ca.;1965;"";"";Sinterklaas;"";jaren 1960;Sinterklaas;""
Het Huis van Alijn (Gent);2007-006-004;"";digitale afbeelding;Groepsfoto personeel Circus Libot, Oudenaarde, 1941;Van links naar rechts: de knecht van Jim Roose, twee augusten en een hond, circusdirecteur Alex Libot.;"";"";"";"";1941;"";"";circus$dresseur$clown;Libot (circus);jaren 1940;august$dompteur$hond;Roose, Jim$Libot, Alexander
Het Huis van Alijn (Gent);2003-002-110;circusattributen;koffer;Koffer van clown Gastonske Minnaert;Koffer met inhoud: een witte broek, zwarte paraplu, roze korset, blauw kort broekje, groen maskertje, witte ballerina's, witte schoenen, donkerrode schoenen, groen-rode kousen, zeven pruiken, stukje haar, vijf hoofddeksels, masker met vlecht, een touw, zwarte veters, gekleurd lintje, lampje, acht houten plankjes, bordeaux bandje, afbeelding van varken, twee leren dassen en een witte klopper. Deze attributen zijn allemaal afkomstig van clown Gastonske Minnaert. De klopper is afkomstig van clown Odilon Titi  (artiestennaam van Odilon Minnaert).;"";"";"";"";"";"";"";circus$clown;Minnaert, Odilon$Minnaert (circus)$Minnaert, Gaston;"";"";""
Het Huis van Alijn (Gent);2003-002-079;circusattributen;wandelstok;Wandelstok van clown Titi;"";onbekend;"";"";"";"";"";"";circus$clown;Minnaert, Odilon$Minnaert (circus);"";"";""
Het Huis van Alijn (Gent);2007-010-205;"";digitale afbeelding;Gustaaf Demuynck omringd door artiesten, 1958;Gustaaf Demuynck omringd door artiesten. Van links naar rechts: onbekend, august Polly Bentos, Ledure, Gustaaf Demuynck, august Brux en Marie Colpaert.;"";"";"";"";1958;"";"";circus;Demuynck (circus);jaren 1950;august;Demeyer, Pierre$Colpaert, Marie$De Baets, Polydoor$Demuynck, Gustaaf
Het Huis van Alijn (Gent);2004-247-414;"";glasnegatief;Landbouwstoet, Brussel, 1893;De landbouwstoet of Cortège de l'Agriculture van 1893 op het Koningsplein in Brussel.;Vander Haeghen, Arnold;fotograaf;Gent;"";1893;"";"";optocht$landbouw$Brussel;"";jaren 1890$19de eeuw;"";""
Het Huis van Alijn (Gent);2002-078-394;"";affiche;Affiche voor Circus Pauwels in Waregem, 2000;Affiche voor Circus Pauwels. Blauwe achtergrond, blauw kader met gele sterretjes. Kleurenfoto's: drie clowns en vijf artiesten verkleed in griezelfiguren.;"";"";"";"";2000;"";"";Waregem$circus$clown;Pauwels (circus);jaren 2000;august$witte clown$duivel;""
Het Huis van Alijn (Gent);2003-002-065;circusattributen;goochelfles;Flessentruc van Circus Simon;Holle fles van ijzer uit circus Simon voor truc De flessen.;"";"";"";"";"";"";"";circus$magiër;Simon (circus);"";"";""
Het Huis van Alijn (Gent)$Het Huis van Alijn (Gent);2009-046-222;"";spel;Vang- en schietkorfjes voor bal;"";onbekend;"";"";"";"";"";"";speelgoed;"";jaren 1980;"";""
Het Huis van Alijn (Gent);FO-0006-0020;"";digitale afbeelding;Harmonie Moed en Vlijt Kuurne tijdens optocht;Harmonie Moed en Vlijt Kuurne op stap met majorette-instructeur Adrien Hoffman.;"";"";"";"";"";"";"";muziek$fanfare$optocht;Koninklijke Harmonie Moed en Vlijt Kuurne;jaren 1970;majorette$vaandel;""
Het Huis van Alijn (Gent);2002-078-393;"";affiche;Affiche voor de voorstelling Parfums d' Orient van Cirque Pauwels in Parijs, 1996;Affiche voor de voorstelling Parfums d' Orient van Cirque Pauwels. Blauwe achtergrond, sierkader met Oosterse motieven. Gekleurde tekening: een illusionist, palmbomen, een moskee, de opgaande zon.;Beyaert-Sioen, Léon;drukker;Kortrijk;"";1996;"";1997;Parijs$circus$magiër;Pauwels (circus);jaren 1990;"";""
Het Huis van Alijn (Gent);2002-078-339;"";affiche;Affiche voor Cirque Ménagerie Olympia in Oudenaarde, 1938;Affiche voor Cirque Ménagerie Olympia. Witte, gespikkelde achtergrond, blauw kader. Gekleurde tekening: een witte clown met een kuif die door een gescheurd vel papier kijkt en wijst.;Chabrillac;drukker;Toulouse;"";1938;"";"";Oudenaarde$clown$circus;Demuynck (circus);jaren 1930;witte clown;""
Het Huis van Alijn (Gent);2007-010-120;"";digitale afbeelding;Rutha en haar partner Dschapur bij Circus Demuynck, 1952;"";"";"";"";"";1952;"";"";circus$acrobaat;Demuynck (circus)$Dschapur & Rutha;jaren 1950;slangenmens;""
Het Huis van Alijn (Gent);2004-247-387;"";glasnegatief;Landbouwstoet, Brussel, 1893;De landbouwstoet of Cortège de l'Agriculture van 1893 op het Koningsplein in Brussel.;Vander Haeghen, Arnold;fotograaf;Gent;"";1893;"";"";optocht$landbouw$Brussel;"";jaren 1890$19de eeuw;paard;""
Het Huis van Alijn (Gent);2003-002-099;circusattributen;klokkenspel (metallofonen);Buizenklokkenspel van clown Toni;Houten koffer met buizenklokkenspel of metallofoon met twaalf metalen buizen uit het circus Varieté van Pierre Minnaert en Fréderic Demeyer. Gebruikt door Pierre Minnaert als witte clown Toni tijdens een muzikale clownsentree. De buizen zijn opgehangen aan een touw en van elkaar gescheiden door schijfjes van kurk. Het geheel is bevestigd aan een houten staaf met daaronder een smalle strobundel die omwonden is met touw.;"";"";"";ca.;1905;"";"";circus$clown$muziek;Variété (circus)$Minnaert, Pierre;jaren 1900;"";""
Het Huis van Alijn (Gent);2003-002-036;circusattributen;jongleerkegel;Jongleerkegel van Gastonske en Pierre Minnaert;De jongleerkegel is een onderdeel van het jongleergerief van Gastonske en zoon Pierre Minnaert uit het circus Minnaert.;onbekend;"";"";"";"";"";"";circus$jongleur;Minnaert (circus)$Minnaert, Gaston$Minnaert, Pierre;"";"";""
Het Huis van Alijn (Gent);2010-129;"";blokpuzzel;Blokpuzzel met voorstellingen van sprookjes;De doos bevat 24 blokken waarmee 6 puzzels gemaakt kunnen worden.;Eichhorn;fabrikant;Duitsland;"";"";"";"";speelgoed$sprookje;Walt Disney;"";"";""
Het Huis van Alijn (Gent);2003-001-009;circuskostuums;acrobatenpak;Kostuum van jongleursduo Dougall's;Rood katoenen pak versierd met nepedelstenen.;"";"";"";"";"";"";"";circus$jongleur;Dougall's;"";"";""
Het Huis van Alijn (Gent);FO-90-00153;"";digitale afbeelding;Bruidspaar Geert en Tine met familie, Waregem, 1990;"";"";"";"";"";1990-07-13;"";"";huwelijk$park$Waregem;"";jaren 1990;bruidspaar$groepsportret;""
Het Huis van Alijn (Gent);2004-247-413;"";glasnegatief;Landbouwstoet, Brussel, 1893;De landbouwstoet of Cortège de l'Agriculture van 1893 op het Koningsplein in Brussel.;Vander Haeghen, Arnold;fotograaf;Gent;"";1893;"";"";optocht$landbouw$Brussel;"";jaren 1890$19de eeuw;paard;""
Het Huis van Alijn (Gent);2003-001-017;circuskostuums;pak$broek$hemd$bolero;Kostuum van jongleursduo Dougall's;Zwarte broek, wit hemd en zilverkleurige jas met pailletten van jongleusduo de Dougall's.;"";"";"";"";"";"";"";circus$jongleur;Chabre, Viviane$Dougall's;"";"";""
Het Huis van Alijn (Gent);2003-002-081;circusattributen;wandelstok;Wandelstok van clown Titi;"";"";"";"";"";"";"";"";circus$clown;Minnaert, Odilon$Minnaert (circus);"";"";""
Het Huis van Alijn (Gent);2003-001-040;circuskostuums;acrobatenpak;Kostuum van Adriaan Boon;Grijs broekpak uit één stuk met een zilverkleurige elastische band in de taille. Gedragen met een groen hemd. Afkomstig uit Circus Boon.;"";"";"";"";"";"";"";circus$acrobaat;Boon, Adriaan;"";"";""
Het Huis van Alijn (Gent);2003-002-115-001;circusattributen;tafel;Acrobatentafel van evenwichtsartiesten Duo Reals;Rechthoekige lage tafel met vier rechte pootjes in gechromeerd metaal en bordeaux gestoffeerd bovenblad met schubbenpatroon.;onbekend;"";"";"";"";"";"";circus$acrobaat;"";"";"";""
Het Huis van Alijn (Gent);2003-001-194;circuskostuums;beenkap;Paar beenbeschermers van leer;Paar beenbeschermers van leer met gespsluiting en vetersluiting. De rand is versierd met koperbeslagwerk. Attribuut van krachtpatser John Massis.;"";"";"";"";"";"";"";circus$krachtpatser;Massis, John;"";"";""
Het Huis van Alijn (Gent);2013-056-057-002;"";handpop;Poppenkastpop Gert;Handpop van Gert, een hoofdpersonage uit het televisieprogramma Samson & Gert.;D.Verbiest - G.Verhulst;fabrikant;België;"";"";"";"";speelgoed$televisieprogramma$poppenspel;"";jaren 1990;"";""
Het Huis van Alijn (Gent);2003-001-069-001;circuskostuums;clownspak;Kostuum van The Freddy's;Oranje broekpak met strik van The Freddy's. Bij het pak horen een masker en handschoenen.;"";"";"";"";"";"";"";circus;"";"";"";""
Het Huis van Alijn (Gent);2003-001-019;circuskostuums;acrobatenpak;Kostuum van jongleursduo Dougall's;Zwart-roze acrobatenpak met mousseline en nepdiamanten.;"";"";"";"";"";"";"";circus$jongleur;Chabre, Viviane$Dougall's;"";"";""
Het Huis van Alijn (Gent);2003-001-070;circuskostuums;rok$blouse$acrobatenpak;Kostuum van acrobate Nadia De Baets;Kinderrokje en hemdje met franjes en zwarte bollen. Kledij van acrobate en plafondloopster Nadia De Baets.;"";"";"";"";"";"";"";circus$acrobaat;De Baets, Nadia;"";"";""
Het Huis van Alijn (Gent);2003-002-149;circusattributen;wip;Wipplank voor ponynummer bij Circus Demuynck;Wipplank van hout met metalen onderstel. Attribuut voor ponynummer. De plank is rood en heeft witte en rode stippen. Aan de bovenzijde zijn koorden aangebracht die een zekere grip geven aan de hoeven van de pony's. Afkomstig van circus Demuynck.;"";"";"";ca.;1950;ca.;1955;circus$dresseur;Demuynck (circus);jaren 1950;"";""
Het Huis van Alijn (Gent);1965-089-063;"";stangpop;Louis Harlekijn;Stangpop van Louis Harlekijn, de vriend van Pierke. Kop met zwarte krulsnor in reliëf en Napoleonshoed. De jas en de broek zijn vervaardigd van veelkleurige, over elkaar liggende lapjes stof. De benen en de voeten hebben een blauwe kleur. Poppenkastpop van het Spelleke van de Muide.;"";"";"";ca.;1922;ca.;1950;poppenspel$Gent;Spelleke van de Muide;jaren 1920$jaren 1930$jaren 1940;Arlecchino$hoed;""
Het Huis van Alijn (Gent);2007-119-107;verpakkingsmateriaal;productverpakking;Koekjesdoos Picklu;"";"";"";"";"";"";"";"";keuken$voedsel$huishouden;"";jaren 1960;"";""
Het Huis van Alijn (Gent);2007-034-103;"";digitale afbeelding;Dresseur met geit en honden, Circus Charivari (Bavaria), 1978;"";"";"";"";"";1978;"";"";circus$dresseur;Bavaria (circus);jaren 1970;circuspiste$hond$geit;""
Het Huis van Alijn (Gent);2007-166-006;"";postkaart;1er Avril;Tekst: Meilleurs baisers de qui? Devinez!;"";"";"";"";1920;"";"";1 april;"";jaren 1920;vis$kus$roos$bloem (plant);""
Het Huis van Alijn (Gent);2002-078-803;"";affiche;Affiche voor het acrobatenduo The Georgy's, ca. 1935;"Affiche voor het acrobatenduo The Georgy's. Blauw-zwarte en rode achtergrond. Tekeningen: The Georgy's met hun acrobatische kunsten met de ladder en de perche; de acrobaat als draadloper; de acrobate die een torenattribuut in evenwicht houdt (onderaan, op rode achtergrond); op de achtergrond de schaduwen van Japanse tempelhuizen.";Affiches Marci;drukker;Brussel;ca.;1935;"";"";acrobaat$circus;Georgy's;jaren 1930;ladderacrobaat$perchist$draadloper$equilibrist;""
Het Huis van Alijn (Gent);2003-002-148;circusattributen;strijdwagen;Wagen voor ponynummer bij Circus Demuynck;Blauwe wagen voor ponynummer. Twee rubberen banden op onderstel in metaal. Het bovenstel is van hout vervaardigd. Type Romeinse strijdwagen. In de strijdwagen werden horizontale latten aangebracht, om steun te geven aan de hoeven van de pony's. Eén pony trok de strijdwagen, een andere stond met de voorpoten in de kar. Afkomstig van circus Demuynck.;"";"";"";ca.;1953;"";"";circus$dresseur;Demuynck (circus);jaren 1950;"";""
Het Huis van Alijn (Gent);2003-002-074;circusattributen;eenwieler;Eenwieler van Bernardos;Eenwieler met banaanvormig zadel in textiel, pedalen van het merk Ravat en (22 inch) band met frans ventiel van het merk Englebert uit Luik. De fiets is grotendeels ingeschilderd met matzilverkleurige roestwerende verf.;onbekend;"";"";"";"";"";"";circus$eenwieleracrobaat$acrobaat;"";"";"";""
Het Huis van Alijn (Gent);2003-002-096;circusattributen;pop;Pop voor paardennummer bij Circus Demuynck;Pop als ruiter voor pony uit circus Demuynck. Hoofd uit textiel, het gelaat is uitgewerkt met verf. De kledij van de ruiter bestaat uit textiel, imitatieleer en kunststof. Het velouren vest is bezet met acht ijzeren knopen. De pop draagt een pet, handschoenen en laarsjes met stijgbeugels. Aan de achterzijde is de nek verstevigd met metaal. Een rol (matrasje en deken) is aan de onderzijde van de rug bevestigd. Rondom het middel zit een riem met gespen die de pop op het zadel houdt.;"";"";"";"";1959;"";"";circus$dresseur;Demuynck (circus);jaren 1950;"";""
Het Huis van Alijn (Gent);1978-322-031;"";porseleinkaart$nieuwjaarskaart;Nieuwjaarskaart Société Royale d’Histoire Naturelle, Gent, 1858;Nieuwjaarskaart voor het jaar 1858, gericht aan het bestuur en de leden van de Koninklijke Maatschappij voor Natuurgeschiedenis te Gent of Gentse Zoo. Drukkleur: zwart. Opschrift: A Messieurs les Président et Membres de la Société Royale d’Histoire Naturelle à Gand. 1858. E. Syts. Illustratie: het paviljoen der wilde dieren: leeuw, tijger, luipaard en hyena. Op de achtergrond rechts de Sint-Pieterskerk.;Van Doosselaere, I.S.$Heins, N.;drukker$drukker;Gent$Gent;"";1858;"";"";dierentuin$nieuwjaarsdag$Gent;Dierentuin (Gent)$Société Royale d'Histoire Naturelle (Gent);19de eeuw;kerk$paviljoen;""
Het Huis van Alijn (Gent);2002-078-824;"";affiche;Affiche voor trapezist Donaldo, ca. 1917;"Affiche voor trapezist Donaldo. Gele achtergrond, fijn zwart kader, witte randen. Gekleurde tekeningen: Donaldo die op een trapeze staat; portret van Donaldo op een rode zegel, onderaan de contouren van de stad Parijs.";Litho de Sud;drukker;Luik;ca.;1917;"";"";acrobaat$circus;"";jaren 1910;trapezist;Le Redotté, Joseph
Het Huis van Alijn (Gent);2002-078-232;"";affiche;Affiche voor Circus De Rycke-Semay in Gentbrugge, 1956;"Affiche voor Circus De Rycke-Semay. Witte randen. Gekleurde tekeningen op blauwe achtergrond: sterren, een clown met een saxofoon, een hond met een bal, een acrobaat met een zweep op een steigerend paard (links); sterren, een clownshoofd, een trapezist, een draadloopster (rechts).";Beyaert, André;drukker;Kortrijk;"";1956;"";"";Gentbrugge$circus$clown$acrobaat$Gent;Semay (circus);jaren 1950;paard$trapezist$draadloper;""
Het Huis van Alijn (Gent);1976-042-001;"";foto;Lijkkoets derde klasse;Foto van een lijkkoets voor volwassenen behorend tot de derde klasse in de samenleving. De lijkkoets wordt getrokken door twee paarden. Op de foto zien we de koetsier en de twee zogenaamde lijkbidders, naast de lijkkoets.;Sacré, Edmond;fotograaf;Gent;"";"";"";"";rouw$dood$begrafenis$vervoer$Gent;"";jaren 1890$jaren 1900;lijkkoets$paard$koetsier;""
Het Huis van Alijn (Gent);1965-089-004;"";stangpop;Boze geest;Stangpop van de boze geest. Pop met langwerpige, wit geschilderde kop, witte kap en grauw kleed met lange mouwen. Poppenkastpop van het Spelleke van de Muide.;"";"";"";ca.;1922;ca.;1950;poppenspel$Gent;Spelleke van de Muide;jaren 1920$jaren 1930$jaren 1940;"";""
Het Huis van Alijn (Gent);1980-251-012;"";handpop;Meisje met blonde haren;"Handpop van een meisje met blonde haren en twee staartjes. De pop heeft blauwe ogen, blonde wenkbrauwen, een wipneusje en een gesloten mond. De kledij bestaat uit een rode, geruite jurk met een rood kraagje met witte bolletjes.
Pop uit het Poppenspel Kindervreugd van de weerstand Gent (oktober 1944 - april 1945).";Van Der Meersch, Gust$Huygheveldt, Gaston;houtsnijder$schilder;Gent$Gent;ca.;1944;"";"";poppenspel$Tweede Wereldoorlog$Gent;Poppenspel weerstand Gent;jaren 1940;"";""
Het Huis van Alijn (Gent);2003-002-068;circusattributen;zadel;Zadel voor paardennummer bij Circus Demuynck;"";"";"";"";"";1959;"";"";circus$dresseur;Demuynck (circus);jaren 1950;"";""
